<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.06.27 17:30;10071.00;10071.00;0.0000
2017.07.12 16:04;10070.00;10052.00;0.0000
2017.07.12 16:22;10070.00;10094.00;0.0000
2017.07.12 17:30;10070.00;10070.00;0.0000
2017.08.08 13:15;9943.00;10090.00;0.0000
2017.08.08 17:22;9943.00;9943.00;0.0000
2017.08.08 17:30;9943.00;9943.00;0.0000
2017.08.14 11:44;9968.00;9940.00;0.0000
2017.08.14 12:31;9968.00;10061.00;0.0000
2017.08.14 17:30;9968.00;9968.00;0.0000
2017.08.22 17:01;9980.00;9890.00;0.0000
2017.08.22 17:20;9980.00;9993.00;0.0000
2017.08.22 17:30;9980.00;9980.00;0.0000
2017.08.29 14:30;10017.00;9964.00;0.0000
2017.08.29 17:25;10017.00;10027.00;0.0000
2017.08.29 17:30;10017.00;10017.00;0.0000
2017.08.30 12:19;9987.00;10021.00;0.0000
2017.08.30 15:21;9987.00;9971.00;0.0000
2017.08.30 17:30;9987.00;9987.00;0.0000
2017.09.01 13:30;9948.00;10009.00;0.0000
2017.09.01 17:12;9948.00;9930.00;0.0000
2017.09.01 17:30;9948.00;9948.00;0.0000
2017.09.11 12:22;9950.00;9928.00;0.0000
2017.09.11 13:53;9950.00;10015.00;0.0000
2017.09.11 15:27;9950.00;9950.00;0.0000
2017.09.13 16:01;9899.00;9960.00;0.0000
2017.09.13 17:15;9899.00;9865.00;0.0000
2017.09.13 17:30;9899.00;9899.00;0.0000
2017.09.15 11:30;10019.00;9876.00;0.0000
2017.09.15 15:45;10019.00;10018.00;0.0000
2017.09.15 15:46;10019.00;10019.00;0.0000
2017.09.25 12:11;10021.00;9989.00;0.0000
2017.09.25 13:32;10021.00;10085.00;0.0000
2017.09.25 14:24;10021.00;10021.00;0.0000
2017.10.09 11:56;9909.00;10047.00;0.0000
2017.10.09 17:28;9909.00;9902.00;0.0000
2017.10.09 17:30;9909.00;9909.00;0.0000
2017.10.19 13:50;9779.00;9942.00;0.0000
2017.10.19 16:43;9779.00;9780.00;0.0000
2017.10.19 16:54;9779.00;9779.00;0.0000
2017.10.25 13:02;9899.00;9774.00;0.0000
2017.10.25 14:22;9899.00;9874.00;0.0000
2017.10.25 14:23;9899.00;9899.00;0.0000
2017.10.30 14:38;9970.00;9887.00;0.0000
2017.10.30 17:05;9970.00;10011.00;0.0000
2017.10.30 17:30;9970.00;9970.00;0.0000
2017.11.01 14:53;9972.00;9941.00;0.0000
2017.11.01 15:27;9972.00;10065.00;0.0000
2017.11.01 16:03;9972.00;9972.00;0.0000
2017.11.07 12:31;10092.00;9892.00;0.0000
2017.11.07 13:34;10092.00;10084.00;0.0000
2017.11.07 13:35;10092.00;10092.00;0.0000
2017.11.14 13:45;10212.00;10057.00;0.0000
2017.11.14 14:45;10212.00;10209.00;0.0000
2017.11.14 14:46;10212.00;10212.00;0.0000
2017.11.16 13:00;10332.00;10120.00;0.0000
2017.11.16 15:54;10332.00;10331.00;0.0000
2017.11.16 15:55;10332.00;10332.00;0.0000
2017.11.17 15:01;10372.00;10327.00;0.0000
2017.11.17 15:34;10372.00;10424.00;0.0000
2017.11.17 17:30;10372.00;10372.00;0.0000
2017.11.29 12:48;10492.00;10491.00;0.0000
2017.11.29 12:49;10492.00;10492.00;0.0000
2017.11.30 14:56;10456.00;10550.00;0.0000
2017.11.30 17:27;10456.00;10437.00;0.0000
2017.11.30 17:30;10456.00;10456.00;0.0000
2017.12.05 10:52;10458.00;10448.00;0.0000
2017.12.05 11:05;10458.00;10548.00;0.0000
2017.12.05 12:32;10458.00;10458.00;0.0000
2017.12.06 11:39;10328.00;10480.00;0.0000
2017.12.06 13:01;10328.00;10329.00;0.0000
2017.12.06 13:12;10328.00;10328.00;0.0000
2017.12.07 10:42;10198.00;10391.00;0.0000
2017.12.07 11:20;10198.00;10227.00;0.0000
2017.12.07 11:21;10198.00;10198.00;0.0000
2017.12.12 11:15;10068.00;10225.00;0.0000
2017.12.12 12:54;10068.00;10084.00;0.0000
2017.12.12 12:55;10068.00;10068.00;0.0000
2018.01.02 12:30;10103.00;10026.00;0.0000
2018.01.02 16:37;10103.00;10121.00;0.0000
2018.01.02 17:30;10103.00;10103.00;0.0000
2018.01.11 15:06;10143.00;10052.00;0.0000
2018.01.11 17:18;10143.00;10160.00;0.0000
2018.01.11 17:30;10143.00;10143.00;0.0000
2018.01.17 14:04;10263.00;10132.00;0.0000
2018.01.17 16:02;10263.00;10262.00;0.0000
2018.01.17 16:32;10263.00;10263.00;0.0000
2018.01.18 16:23;10221.00;10279.00;0.0000
2018.01.18 17:08;10221.00;10204.00;0.0000
2018.01.18 17:30;10221.00;10221.00;0.0000
2018.01.23 14:02;10294.00;10180.00;0.0000
2018.01.23 16:23;10294.00;10313.00;0.0000
2018.01.23 17:30;10294.00;10294.00;0.0000
2018.01.24 12:00;10296.00;10407.00;0.0000
2018.01.24 12:34;10296.00;10296.00;0.0000
