Data;Balance
2017.10.19;12069.00
2017.10.23;12026.00
2017.10.23;12026.00
2017.10.23;12026.00
2017.10.25;11983.00
2017.10.25;11983.00
2017.10.25;11983.00
2017.10.26;12030.00
2017.10.26;12030.00
2017.10.26;12030.00
2017.10.27;12165.00
2017.10.27;12165.00
2017.10.27;12165.00
2017.10.30;12121.00
2017.10.30;12121.00
2017.10.30;12121.00
2017.11.01;12083.00
2017.11.01;12083.00
2017.11.01;12083.00
2017.11.03;12035.00
2017.11.03;12035.00
2017.11.03;12035.00
2017.11.06;12049.00
2017.11.06;12049.00
2017.11.06;12049.00
2017.11.07;12000.00
2017.11.07;12000.00
2017.11.07;12000.00
2017.11.09;12113.00
2017.11.09;12113.00
2017.11.09;12113.00
2017.11.10;12047.00
2017.11.10;12047.00
2017.11.10;12047.00
2017.11.13;12144.00
2017.11.13;12144.00
2017.11.13;12144.00
2017.11.14;12083.00
2017.11.14;12083.00
2017.11.14;12083.00
2017.11.17;12106.00
2017.11.17;12106.00
2017.11.17;12106.00
2017.11.21;12051.00
2017.11.21;12051.00
2017.11.21;12051.00
2017.11.22;12167.00
2017.11.22;12167.00
2017.11.22;12167.00
2017.11.27;12189.00
2017.11.27;12189.00
2017.11.27;12189.00
2017.11.29;12147.00
2017.11.29;12147.00
2017.11.29;12147.00
2017.11.30;12090.00
2017.11.30;12090.00
2017.11.30;12090.00
2017.12.01;12214.00
2017.12.01;12214.00
2017.12.01;12214.00
2017.12.01;12145.00
2017.12.01;12145.00
2017.12.01;12145.00
2017.12.04;12084.00
2017.12.04;12084.00
2017.12.04;12084.00
2017.12.05;12219.00
2017.12.05;12219.00
2017.12.05;12219.00
2017.12.06;12331.00
2017.12.06;12331.00
2017.12.06;12331.00
2017.12.07;12453.00
2017.12.07;12453.00
2017.12.07;12453.00
2017.12.11;12531.00
2017.12.11;12531.00
2017.12.11;12531.00
2017.12.12;12485.00
2017.12.12;12485.00
2017.12.12;12485.00
2017.12.12;12600.00
2017.12.12;12600.00
2017.12.12;12600.00
2017.12.13;12713.00
2017.12.13;12713.00
2017.12.13;12713.00
2017.12.14;12630.00
2017.12.14;12630.00
2017.12.14;12630.00
2017.12.15;12747.00
2017.12.15;12747.00
2017.12.15;12747.00
2017.12.15;12702.00
2017.12.15;12702.00
2017.12.15;12702.00
2017.12.18;12722.00
2017.12.18;12722.00
2017.12.18;12722.00
2017.12.19;12776.00
