<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2018.08.24 14:34;10701.00;10835.00;0.0000
2018.08.24 15:52;10701.00;10725.00;0.0000
2018.08.24 15:53;10701.00;10701.00;0.0000
2018.08.30 13:16;10807.00;10672.00;0.0000
2018.08.30 15:21;10807.00;10804.00;0.0000
2018.08.30 15:23;10807.00;10807.00;0.0000
2018.09.14 16:01;10786.00;10817.00;0.0000
2018.09.14 16:50;10786.00;10728.00;0.0000
2018.09.14 17:40;10786.00;10786.00;0.0000
2018.09.24 16:31;10820.00;10740.00;0.0000
2018.09.24 17:29;10820.00;10835.00;0.0000
2018.09.24 17:40;10820.00;10820.00;0.0000
2018.09.25 16:15;10837.00;10768.00;0.0000
2018.09.25 17:36;10837.00;10846.00;0.0000
2018.09.25 17:40;10837.00;10837.00;0.0000
2018.10.01 11:25;10943.00;10800.00;0.0000
2018.10.01 12:33;10943.00;10937.00;0.0000
2018.10.01 12:37;10943.00;10943.00;0.0000
2018.10.10 14:24;11049.00;10897.00;0.0000
2018.10.10 17:04;11049.00;11045.00;0.0000
2018.10.10 17:05;11049.00;11049.00;0.0000
2018.10.16 11:09;11154.00;11040.00;0.0000
2018.10.16 11:55;11154.00;11146.00;0.0000
2018.10.16 11:56;11154.00;11154.00;0.0000
2018.10.18 15:46;11234.00;11106.00;0.0000
2018.10.18 17:37;11234.00;11247.00;0.0000
2018.10.18 17:40;11234.00;11234.00;0.0000
2018.10.23 11:24;11140.00;11260.00;0.0000
2018.10.23 11:53;11140.00;11144.00;0.0000
2018.10.23 12:05;11140.00;11140.00;0.0000
2018.10.23 14:00;11187.00;11103.00;0.0000
2018.10.23 15:50;11187.00;11214.00;0.0000
2018.10.23 17:40;11187.00;11187.00;0.0000
2018.10.24 13:16;11293.00;11112.00;0.0000
2018.10.24 16:45;11293.00;11285.00;0.0000
2018.10.24 16:46;11293.00;11293.00;0.0000
2018.10.26 14:33;11398.00;11228.00;0.0000
2018.10.26 15:34;11398.00;11395.00;0.0000
2018.10.26 15:35;11398.00;11398.00;0.0000
