<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2018.11.09 10:39;21094.00;21082.00;0.0000
2018.11.09 10:42;21094.00;21094.00;0.0000
2018.11.16 09:55;21367.00;21088.00;0.0000
2018.11.16 10:22;21367.00;21355.00;0.0000
2018.11.16 10:24;21367.00;21367.00;0.0000
2018.11.19 10:16;21661.00;21643.00;0.0000
2018.11.19 10:17;21661.00;21661.00;0.0000
2018.11.28 12:30;21976.00;21460.00;0.0000
2018.11.28 12:44;21976.00;21961.00;0.0000
2018.11.28 12:45;21976.00;21976.00;0.0000
2018.12.03 09:49;22264.00;21907.00;0.0000
2018.12.03 10:16;22264.00;22258.00;0.0000
2018.12.03 10:22;22264.00;22264.00;0.0000
2018.12.12 10:58;22555.00;22135.00;0.0000
2018.12.12 12:45;22555.00;22537.00;0.0000
2018.12.12 12:46;22555.00;22555.00;0.0000
2018.12.28 18:09;22555.00;22555.00;0.0000
